acs_chars		acsc	ac	graphic charset paris aAbBcC
key_f61			kf61	Fp	f61 key
key_f62			kf62	Fq	f62 key
key_f63			kf63	Fr	f63 key
key_find		kfnd	@0	find key
key_help		khlp	%1	help key
key_home		khome	kh	home key
key_ic			kichl	kI	insert key
key_il			kill	kA	insert-line key
key_left		kcubl	kl	left-arrow key
key_ll			kll	kH	home-down key
key_mark		kmrk	%2	mark key
key_message		kmsg	%3	message key
key_mouse		kmous	Km	mouse event has occured
key_move		kmov	%4	move key
key_next		knxt	%5	next-object key
key_npage		knp	kN	next-page key
key_open		kopn	%6	open key
key_options		kopt	%7	options key
key_ppage		kpp	kP	previous-page key
key_previous		kprv	%8	previous-object key
key_print		kprt	%9	print or copy key
key_redo		krdo	%0	redo key
key_reference		kref	&1	ref(erence) key
key_refresh		krfr	&2	refresh key
key_replace		krpl	&3	replace key
key_restart		krst	&4	restart key
key_resume		kres	&5	resume key
key_right		kcufl	kr	right-arrow key
key_save		ksav	&6	save key
key_sbeg		kBEG	&9	shift+beg(innning) key
key_scancel		kCAN	&0	shift+cancel key
key_scommand		kCMD	*1	shift+command key
key_scopy		kCPY	*2	shift+copy key
key_screate		kCRT	*3	shift+create key
key_sdc			kDC	*4	shift+delete-char key
key_sdl			kDL	*5	shift+delete-line key
key_select		kslt	*6	select key
key_send		kEND	*7	shift+end key
key_seol		kEOL	*8	shift+clear-line key
key_sexit		kEXT	*9	shift+exit key
key_sf			kind	kF	scroll-forward/down key
key_sfind		kFND	*0	shift+find key
key_shelp		kHLP	#1	shift+help key
key_shome		kHOM	#2	shift+home key
key_sic			iIC	#3	shift+input key
key_sleft		kLFT	#4	shift+left-arrow key
key_smessage		kMSG	%a	shift+message key
key_smove		kMOV	%b	shift+move key
key_snext		kNXT	%c	shift+next key
key_soptions		kOPT	%d	shift+options key
key_sprevious		kPRV	%e	shift+prev key
key_sprint		kPRT	%f	shift+print key
key_sr			kri	kR	scroll-backward/up key
key_sredo		kRDO	%g	shift+redo key
key_sreplace		kRPL	%h	shift+replace key
key_sright		kRIT	%i	shift+right-arrow key
key_srsume		kRES	%j	shift+resume key
key_ssave		kSAV	!1	shift+save key
key_ssuspend		kSPD	!2	shift+suspend key
key_stab		khts	kT	set-tab key
key_sundo		sUND	!3	shift+undo key
key_suspend		kspd	&7	suspend key
key_undo		kund	&8	undo key
key_up			kcuul	ku	up-arrow key
keypad_local		rmkx	ke	out of "keypad-transmit" mode
keypad_xmit		smkx	ks	put terminal in "keypad-transmit" mode
lab_f0			lf0	l0	label on function key f0 if not f0
lab_f1			lf1	l1	label on function key f1 if not f1
lab_f2			lf2	l2	label on function key f2 if not f2
lab_f3			lf3	l3	label on function key f3 if not f3
lab_f4			lf4	l4	label on function key f4 if not f4
lab_f5			lf5	l5	label on function key f5 if not f5
lab_f6			lf6	l6	label on function key f6 if not f6
lab_f7			lf7	l7	label on function key f7 if not f7
lab_f8			lf8	l8	label on function key f8 if not f8
lab_f9			lf9	l9	label on function key f9 if not f9
lab_f10			lf10	la	label on function key f10 if not f10
label_format		fln	Lf	label format
label_off		rmln	LF	turn off soft labels
label_on		smln	LO	turn on soft labels
meta_off		rmm	mo	turn off "meta mode"
meta_on			smm	mm	turn on "meta mode" (8th bit)
micro_colum_address	mhpa	ZY	like TERMCAP(column_address) for micro adjustment
micro_down		mcudl	ZZ	like TERMCAP(cursor_down) for micro adjustment
micro_left		mcubl	Za	like TERMCAP(cursor_left) for micro adjustment
micro_right		mcufl	Zb	like TERMCAP(cursor_right) for micro adjustment
micro_row_address	mvpa	Zc	like TERMCAP(row_address) for micro adjustment
micro_up		mcuul	Zd	like TERMCAP(cursor_up) for micro adjustment
mouse_info		minfo	Mi	mouse status information
newline			nel	nw	newline (behaves like TERMCAP(cr) followed by TERMCAP(lf))
order_of_pins		porder	Ze	matches software bits to print-head pins
orig_colors		oc	oc	set all colors and color pairs to original
orig_pair		op	op	set default color pair to original
pad_char		pad	pc	pd characters (rather than null)
parm_dch		dch	DC	delete #1 chars
parm_delete_line	dl	DL	delete #1 lines
parm_down_cursor	cud	DO	move down #1 lines
parm_down_micro		mcud	Zf	like TERMCAP(parm_down_cursor) for micro adjustment
parm_ich		ich	IC	insert #1 blank characters
parm_index		indn	SF	scroll forward #1 lines
parm_insert_line	il	AL	add #1 new blank lines
parm_left_cursor	cub	LE	move cursor left #1 spaces
parm_left_micro		mcub	Zg	like TERMCAP(parm_left_cursor) for micro adjustment
parm_right_cursor	cuf	RI	move right #1 spaces
parm_right_micro	mcuf	Zh	like TERMCAP(parm_right_cursor) for micro adjustment
parm_rindex		rin	SR	scroll backward #1 lines
parm_up_cursor		cuu	UP	move cursor up #1 lines
parm_up_micro		mcuu	Zi	like TERMCAP(parm_up_cusor) for micro adjustment
pc_term_options		pctrm	S6	PC terminal options
pkey_key		pfkey	pk	program function key #1 to type string #2
pkey_local		pfloc	pl	program function key #1 to execute string #2
pkey_plab		pfxl	xl	program function key #1 to transmit string #2 and show string #3
pkey_xmit		pfx	px	program function key #1 to transmit string #2
plab_norm		pln	pn	program label #1 to show string #2
print_screen		mc0	ps	print contents of the screen
prtr_non		mc5p	p0	turn on printer for #1 bytes
prtr_off		mc4	pf	turn off printer
prtr_on			mc5	po	turn on printer
pulse			pulse	PU	select pulse dialing
quick_dial		qdial	QD	dial phone number #1 without progress detection
remove_clock		rmclk	RC	remove time-of-day clock
repeat_char		rep	rp	repeat character #1 #2 times
req_for_input		rfi	RF	send next input character
req_mouse_pos		reqmp	RQ	request mouse position report
reset_1string		rs1	r1	reset terminal completely to sane modes
reset_2string		rs2	r2	reset terminal completely to sane modes
reset_3string		rs3	r3	reset terminal completely to sane modes
reset_file		rf	rf	name of file containing reset string
restore_cursor		rc	rc	restore cursor to position of last sc
row_address		vpa	cv	set vertical position to absolute #1
save_cursor		sc	sc	save cursor position
scancode_escape		scesc	S7	escape for scancode emulation
scroll_forward		ind	sf	scroll text up
scroll_reverse		ri	sr	scroll text down
select_char_set		scs	Zj	select character set
set0_des_seq		s0ds	s0	shift into codeset 0 (EUC set 0, ASCII)
set1_des_seq		s1ds	s1	shift into codeset 1
set2_des_seq		s2ds	s2	shift into codeset 2
set3_des_seq		s3ds	s3	shift into codeset 3
set_a_attributes	sgrl	--	define second set of video attributes #1-#6
set_a_background	setab	AB	set background color to #1 using ANSI escape
set_a_foreground	setaf	AF	set foreground color to #1 using ANSI escape
set_attributes		sgr	sa	define first set of video attributes #1-#9
set_background		setb	Sb	set background color to #1
set_bottom_margin	smgb	Zk	set bottom margin at current line
set_bottom_margin_parm	smgbp	Zl	set bototm margin at line #1 or #2 lines from bottom
set_clock		sclk	SC	set clock to #1 hours, #2 minutes, #3 seconds
set_color_band		setcolor	Yz	change to ribbon color #1
set_color_pair		scp	sp	set current color pair to #1
set_foreground		setf	Sf	set foreground color to #1
set_left_margin		smgl	ML	set left margin at current column
set_left_margin_parm	smglp	Zm	set left (right) margin at column #1 (#2)
set_lr_margin		smglr	ML	set both left and right margins
set_page_length		slines	YZ	set page length to #1 lines
set_pglen_inch		slength	YI	set page length to #1 hundredths of an inch
set_right_margin	smgr	MR	set right margin at current column
set_right_margin_parm	smgrp	Zn	set right margin at column #1
